date,year,month,weekday,is_weekend,season,demand_gwh_daily,demand_low_gwh_daily(5%),demand_high_gwh_daily(7%),demand_gwh,demand_low_gwh(5%),demand_high_gwh(7%),gdp_current_usd_billion,population_total,temp_c_synthetic,rainfall_mm_synthetic,humidity_pct_synthetic,lat,lon,country,aggregation
1/20/2022,2022,1,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.37,4.07,67.3,-0.023559,37.906193,Kenya,national
1/21/2022,2022,1,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.26,1.83,65.1,-0.023559,37.906193,Kenya,national
1/22/2022,2022,1,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,20.97,1,70.4,-0.023559,37.906193,Kenya,national
1/23/2022,2022,1,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,24.79,2.71,67.2,-0.023559,37.906193,Kenya,national
1/24/2022,2022,1,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.66,3.39,50.7,-0.023559,37.906193,Kenya,national
1/25/2022,2022,1,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,20.16,0.67,69.1,-0.023559,37.906193,Kenya,national
1/26/2022,2022,1,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.37,1.63,60.9,-0.023559,37.906193,Kenya,national
1/27/2022,2022,1,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.06,4.2,63.5,-0.023559,37.906193,Kenya,national
1/28/2022,2022,1,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,21.61,0.56,72.5,-0.023559,37.906193,Kenya,national
1/29/2022,2022,1,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,21.02,0.78,63.5,-0.023559,37.906193,Kenya,national
1/30/2022,2022,1,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,24.07,2.31,72.6,-0.023559,37.906193,Kenya,national
1/31/2022,2022,1,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.79,0.23,60.4,-0.023559,37.906193,Kenya,national
2/1/2022,2022,2,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.53,0,56.9,-0.023559,37.906193,Kenya,national
2/2/2022,2022,2,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.51,0,54.3,-0.023559,37.906193,Kenya,national
2/3/2022,2022,2,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,24.77,2.62,58.9,-0.023559,37.906193,Kenya,national
2/4/2022,2022,2,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.43,3.04,46.5,-0.023559,37.906193,Kenya,national
2/5/2022,2022,2,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,23.4,2.94,59.5,-0.023559,37.906193,Kenya,national
2/6/2022,2022,2,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,25.09,2.64,59,-0.023559,37.906193,Kenya,national
2/7/2022,2022,2,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,26.09,0.21,55.7,-0.023559,37.906193,Kenya,national
2/8/2022,2022,2,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.59,3.07,42.1,-0.023559,37.906193,Kenya,national
2/9/2022,2022,2,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.37,3.78,42.8,-0.023559,37.906193,Kenya,national
2/10/2022,2022,2,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,24.7,1.01,65.6,-0.023559,37.906193,Kenya,national
2/11/2022,2022,2,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,24.5,3.47,52.3,-0.023559,37.906193,Kenya,national
2/12/2022,2022,2,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,26.2,1.51,71,-0.023559,37.906193,Kenya,national
2/13/2022,2022,2,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,21.43,2.34,54.3,-0.023559,37.906193,Kenya,national
2/14/2022,2022,2,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.68,2.61,62.9,-0.023559,37.906193,Kenya,national
2/15/2022,2022,2,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.32,0,48.4,-0.023559,37.906193,Kenya,national
2/16/2022,2022,2,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,20.53,4.26,54.9,-0.023559,37.906193,Kenya,national
2/17/2022,2022,2,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,24.25,0.77,58.2,-0.023559,37.906193,Kenya,national
2/18/2022,2022,2,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.06,1.91,64.6,-0.023559,37.906193,Kenya,national
2/19/2022,2022,2,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,22.52,1.32,73.4,-0.023559,37.906193,Kenya,national
2/20/2022,2022,2,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,26.77,2.75,67.7,-0.023559,37.906193,Kenya,national
2/21/2022,2022,2,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.64,2.71,48.4,-0.023559,37.906193,Kenya,national
2/22/2022,2022,2,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.25,2.09,60,-0.023559,37.906193,Kenya,national
2/23/2022,2022,2,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,24.8,4.18,58.7,-0.023559,37.906193,Kenya,national
2/24/2022,2022,2,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.91,2.48,54.9,-0.023559,37.906193,Kenya,national
2/25/2022,2022,2,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,21.34,1.46,64.7,-0.023559,37.906193,Kenya,national
2/26/2022,2022,2,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,25.23,0,72.6,-0.023559,37.906193,Kenya,national
2/27/2022,2022,2,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,25.21,1.64,56.3,-0.023559,37.906193,Kenya,national
2/28/2022,2022,2,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,20.46,1.63,68.9,-0.023559,37.906193,Kenya,national
3/1/2022,2022,3,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.69,2.09,86.2,-0.023559,37.906193,Kenya,national
3/2/2022,2022,3,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.5,2.13,66.5,-0.023559,37.906193,Kenya,national
3/3/2022,2022,3,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.56,7.22,89.2,-0.023559,37.906193,Kenya,national
3/4/2022,2022,3,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.12,8.8,88.5,-0.023559,37.906193,Kenya,national
3/5/2022,2022,3,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,22.96,11.78,77.4,-0.023559,37.906193,Kenya,national
3/6/2022,2022,3,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,23.69,9.14,88.7,-0.023559,37.906193,Kenya,national
3/7/2022,2022,3,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.25,2.67,77,-0.023559,37.906193,Kenya,national
3/8/2022,2022,3,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.2,6.04,84.2,-0.023559,37.906193,Kenya,national
3/9/2022,2022,3,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.79,0.37,80.2,-0.023559,37.906193,Kenya,national
3/10/2022,2022,3,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.98,7.7,68.1,-0.023559,37.906193,Kenya,national
3/11/2022,2022,3,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.96,6.4,77.1,-0.023559,37.906193,Kenya,national
3/12/2022,2022,3,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,25.17,3.01,73.7,-0.023559,37.906193,Kenya,national
3/13/2022,2022,3,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,24.21,4.78,71.1,-0.023559,37.906193,Kenya,national
3/14/2022,2022,3,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.64,4.27,65.8,-0.023559,37.906193,Kenya,national
3/15/2022,2022,3,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.26,2.92,68.8,-0.023559,37.906193,Kenya,national
3/16/2022,2022,3,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.52,9.77,65.1,-0.023559,37.906193,Kenya,national
3/17/2022,2022,3,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,26.58,16.01,84.1,-0.023559,37.906193,Kenya,national
3/18/2022,2022,3,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,19.85,8.03,59.3,-0.023559,37.906193,Kenya,national
3/19/2022,2022,3,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,24.77,8.85,75.6,-0.023559,37.906193,Kenya,national
3/20/2022,2022,3,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,23.93,5.71,70.1,-0.023559,37.906193,Kenya,national
3/21/2022,2022,3,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.81,3.92,65,-0.023559,37.906193,Kenya,national
3/22/2022,2022,3,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.99,12.83,80.8,-0.023559,37.906193,Kenya,national
3/23/2022,2022,3,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.51,3.87,68.6,-0.023559,37.906193,Kenya,national
3/24/2022,2022,3,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.48,6.54,84.7,-0.023559,37.906193,Kenya,national
3/25/2022,2022,3,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.13,4.73,73.6,-0.023559,37.906193,Kenya,national
3/26/2022,2022,3,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,25.6,7.22,77.7,-0.023559,37.906193,Kenya,national
3/27/2022,2022,3,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,19.8,4.98,74,-0.023559,37.906193,Kenya,national
3/28/2022,2022,3,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.39,7.23,80.2,-0.023559,37.906193,Kenya,national
3/29/2022,2022,3,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.38,0.72,82.5,-0.023559,37.906193,Kenya,national
3/30/2022,2022,3,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.49,4.8,71.4,-0.023559,37.906193,Kenya,national
3/31/2022,2022,3,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,26.03,9.95,74.9,-0.023559,37.906193,Kenya,national
4/1/2022,2022,4,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,27.05,1.53,89.1,-0.023559,37.906193,Kenya,national
4/2/2022,2022,4,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,19.44,2.81,70.4,-0.023559,37.906193,Kenya,national
4/3/2022,2022,4,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,21.85,9.95,89.5,-0.023559,37.906193,Kenya,national
4/4/2022,2022,4,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.41,6.56,71.9,-0.023559,37.906193,Kenya,national
4/5/2022,2022,4,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,26.16,8.89,70.5,-0.023559,37.906193,Kenya,national
4/6/2022,2022,4,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.84,0,61.5,-0.023559,37.906193,Kenya,national
4/7/2022,2022,4,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.51,5.66,68.2,-0.023559,37.906193,Kenya,national
4/8/2022,2022,4,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.59,0.68,61.1,-0.023559,37.906193,Kenya,national
4/9/2022,2022,4,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,22.97,0.27,70.4,-0.023559,37.906193,Kenya,national
4/10/2022,2022,4,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,22.59,6.58,80.5,-0.023559,37.906193,Kenya,national
4/11/2022,2022,4,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.53,9.29,74.5,-0.023559,37.906193,Kenya,national
4/12/2022,2022,4,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.77,0,70.2,-0.023559,37.906193,Kenya,national
4/13/2022,2022,4,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.62,1.26,66.8,-0.023559,37.906193,Kenya,national
4/14/2022,2022,4,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.81,3.09,69.5,-0.023559,37.906193,Kenya,national
4/15/2022,2022,4,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.56,4.7,63.4,-0.023559,37.906193,Kenya,national
4/16/2022,2022,4,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,20.43,0.48,64.8,-0.023559,37.906193,Kenya,national
4/17/2022,2022,4,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,22.03,13.06,90.6,-0.023559,37.906193,Kenya,national
4/18/2022,2022,4,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.41,7.19,76.9,-0.023559,37.906193,Kenya,national
4/19/2022,2022,4,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.62,3.87,67.7,-0.023559,37.906193,Kenya,national
4/20/2022,2022,4,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.12,3.31,80.4,-0.023559,37.906193,Kenya,national
4/21/2022,2022,4,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.67,13.28,87,-0.023559,37.906193,Kenya,national
4/22/2022,2022,4,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.06,12.99,69.9,-0.023559,37.906193,Kenya,national
4/23/2022,2022,4,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,27.22,3.41,74.1,-0.023559,37.906193,Kenya,national
4/24/2022,2022,4,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,23.13,6.34,64.9,-0.023559,37.906193,Kenya,national
4/25/2022,2022,4,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.08,9.54,62.2,-0.023559,37.906193,Kenya,national
4/26/2022,2022,4,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.1,0.96,86,-0.023559,37.906193,Kenya,national
4/27/2022,2022,4,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.65,3.05,100,-0.023559,37.906193,Kenya,national
4/28/2022,2022,4,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,28.14,9.85,69.1,-0.023559,37.906193,Kenya,national
4/29/2022,2022,4,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.36,2.67,62,-0.023559,37.906193,Kenya,national
4/30/2022,2022,4,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,21.71,3.59,86.4,-0.023559,37.906193,Kenya,national
5/1/2022,2022,5,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,24.19,0.37,83.5,-0.023559,37.906193,Kenya,national
5/2/2022,2022,5,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.34,2.43,78.8,-0.023559,37.906193,Kenya,national
5/3/2022,2022,5,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.46,7.51,86.8,-0.023559,37.906193,Kenya,national
5/4/2022,2022,5,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.3,2.2,72.3,-0.023559,37.906193,Kenya,national
5/5/2022,2022,5,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.38,0.5,77.2,-0.023559,37.906193,Kenya,national
5/6/2022,2022,5,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.19,2.88,81.3,-0.023559,37.906193,Kenya,national
5/7/2022,2022,5,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,23.04,11.31,72.5,-0.023559,37.906193,Kenya,national
5/8/2022,2022,5,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,24.84,5.7,78.8,-0.023559,37.906193,Kenya,national
5/9/2022,2022,5,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.16,3.1,73.1,-0.023559,37.906193,Kenya,national
5/10/2022,2022,5,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.66,5.61,78.6,-0.023559,37.906193,Kenya,national
5/11/2022,2022,5,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,18.72,6.62,76.3,-0.023559,37.906193,Kenya,national
5/12/2022,2022,5,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.1,5.49,59.1,-0.023559,37.906193,Kenya,national
5/13/2022,2022,5,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.59,0,75.7,-0.023559,37.906193,Kenya,national
5/14/2022,2022,5,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,21.82,6.11,63.5,-0.023559,37.906193,Kenya,national
5/15/2022,2022,5,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,24.16,4.3,68.2,-0.023559,37.906193,Kenya,national
5/16/2022,2022,5,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.08,8.02,61.7,-0.023559,37.906193,Kenya,national
5/17/2022,2022,5,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.64,0.29,81.5,-0.023559,37.906193,Kenya,national
5/18/2022,2022,5,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,24.62,8.73,72.4,-0.023559,37.906193,Kenya,national
5/19/2022,2022,5,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,25.03,3.3,71.9,-0.023559,37.906193,Kenya,national
5/20/2022,2022,5,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.78,0,85,-0.023559,37.906193,Kenya,national
5/21/2022,2022,5,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,21.6,9.72,80.7,-0.023559,37.906193,Kenya,national
5/22/2022,2022,5,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,21.54,3.21,73.3,-0.023559,37.906193,Kenya,national
5/23/2022,2022,5,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.02,6.34,58.3,-0.023559,37.906193,Kenya,national
5/24/2022,2022,5,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,20.74,4.46,80.3,-0.023559,37.906193,Kenya,national
5/25/2022,2022,5,Wednesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,21.91,8.87,72.9,-0.023559,37.906193,Kenya,national
5/26/2022,2022,5,Thursday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.81,8.91,72.1,-0.023559,37.906193,Kenya,national
5/27/2022,2022,5,Friday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.5,8.95,80.8,-0.023559,37.906193,Kenya,national
5/28/2022,2022,5,Saturday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,22.32,7.53,69.9,-0.023559,37.906193,Kenya,national
5/29/2022,2022,5,Sunday,TRUE,long_rains,26.597,,,10008,,,113.42,54241584,19.15,0,74.3,-0.023559,37.906193,Kenya,national
5/30/2022,2022,5,Monday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,22.86,0,82.1,-0.023559,37.906193,Kenya,national
5/31/2022,2022,5,Tuesday,FALSE,long_rains,27.419,,,10008,,,113.42,54241584,23.45,5.71,79.5,-0.023559,37.906193,Kenya,national
6/1/2022,2022,6,Wednesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,24.17,0.85,60.7,-0.023559,37.906193,Kenya,national
6/2/2022,2022,6,Thursday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,23.16,2.56,75.2,-0.023559,37.906193,Kenya,national
6/3/2022,2022,6,Friday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,20.71,2.2,73,-0.023559,37.906193,Kenya,national
6/4/2022,2022,6,Saturday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,20.55,0.29,78.2,-0.023559,37.906193,Kenya,national
6/5/2022,2022,6,Sunday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,26.02,0.75,64.6,-0.023559,37.906193,Kenya,national
6/6/2022,2022,6,Monday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,23.51,0.63,66.5,-0.023559,37.906193,Kenya,national
6/7/2022,2022,6,Tuesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,25.66,0.93,72.4,-0.023559,37.906193,Kenya,national
6/8/2022,2022,6,Wednesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,26.26,1.75,68.1,-0.023559,37.906193,Kenya,national
6/9/2022,2022,6,Thursday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,20.36,2.82,66,-0.023559,37.906193,Kenya,national
6/10/2022,2022,6,Friday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,22.77,3.62,64.3,-0.023559,37.906193,Kenya,national
6/11/2022,2022,6,Saturday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,22.92,0.82,62.9,-0.023559,37.906193,Kenya,national
6/12/2022,2022,6,Sunday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,23.12,1.32,60.4,-0.023559,37.906193,Kenya,national
6/13/2022,2022,6,Monday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,23.08,3.88,60.5,-0.023559,37.906193,Kenya,national
6/14/2022,2022,6,Tuesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,22.4,3.08,67.8,-0.023559,37.906193,Kenya,national
6/15/2022,2022,6,Wednesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,22.35,2.28,62.9,-0.023559,37.906193,Kenya,national
6/16/2022,2022,6,Thursday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,19,0,55.1,-0.023559,37.906193,Kenya,national
6/17/2022,2022,6,Friday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,21.67,0.78,65.4,-0.023559,37.906193,Kenya,national
6/18/2022,2022,6,Saturday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,20.5,2.19,76.6,-0.023559,37.906193,Kenya,national
6/19/2022,2022,6,Sunday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,22.25,1.28,74.5,-0.023559,37.906193,Kenya,national
6/20/2022,2022,6,Monday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,21.06,4.41,51,-0.023559,37.906193,Kenya,national
6/21/2022,2022,6,Tuesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,23.24,2.11,59.1,-0.023559,37.906193,Kenya,national
6/22/2022,2022,6,Wednesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,23.64,2.34,70.5,-0.023559,37.906193,Kenya,national
6/23/2022,2022,6,Thursday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,22.62,0.66,65.6,-0.023559,37.906193,Kenya,national
6/24/2022,2022,6,Friday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,22.63,0.73,65.5,-0.023559,37.906193,Kenya,national
6/25/2022,2022,6,Saturday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,22.19,1.19,64.1,-0.023559,37.906193,Kenya,national
6/26/2022,2022,6,Sunday,TRUE,cool_dry,26.597,,,10008,,,113.42,54241584,21.1,1.24,65.4,-0.023559,37.906193,Kenya,national
6/27/2022,2022,6,Monday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,21.67,1.71,57.9,-0.023559,37.906193,Kenya,national
6/28/2022,2022,6,Tuesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,21.01,2.45,73.3,-0.023559,37.906193,Kenya,national
6/29/2022,2022,6,Wednesday,FALSE,cool_dry,27.419,,,10008,,,113.42,54241584,22.78,2.28,57.7,-0.023559,37.906193,Kenya,national
